,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.1,0.8,18.2%,73.9%,7.8%,126.8
1,2,Phantom,5.3,0.2,15.9%,74.8%,9.3%,122.7
2,3,Operator,3.2,10.0%,85.6%,4.4%,150.1,
3,4,Spectre,3.1,0.1,13.0%,75.6%,11.4%,93.8
4,5,Odin,2.9,1.8,9.2%,70.8%,20.0%,113.9
5,6,Ghost,2.7,0,19.5%,73.7%,6.9%,85.2
6,7,Sheriff,1.7,0,23.2%,71.8%,5.0%,106
7,8,Guardian,1.7,0.6,20.3%,74.0%,5.7%,137.4
8,9,Ares,1.6,1,11.3%,71.9%,16.9%,97.7
9,10,Judge,1.6,0,12.3%,74.7%,13.0%,98
10,11,Bulldog,1.5,0.3,14.5%,75.8%,9.7%,107.1
11,12,Classic,1.5,0.4,16.1%,75.8%,8.1%,74.2
12,13,Marshal,1.3,1.2,21.3%,73.9%,4.7%,124.9
13,14,Stinger,1.2,0.1,16.6%,74.2%,9.3%,95.8
14,15,Frenzy,1.1,0,16.2%,75.3%,8.5%,80.3
15,16,Bucky,1,0,14.2%,76.3%,9.5%,91.3
16,17,Shorty,0.8,0,14.3%,73.9%,11.7%,85
