,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,11,1.8,13.6%,74.1%,12.2%,122.2
1,2,Phantom,4.9,0.9,12.1%,73.7%,14.2%,118.1
2,3,Spectre,3.9,0.6,10.3%,74.3%,15.4%,92.5
3,4,Odin,3,1.9,7.8%,67.1%,25.1%,113.1
4,5,Operator,2.8,10.0%,84.2%,5.8%,149.2,
5,6,Ghost,2.6,0,13.8%,75.1%,11.1%,83
6,7,Ares,2.5,1.7,9.5%,69.8%,20.7%,98.8
7,8,Guardian,2.1,0.9,13.1%,76.3%,10.6%,130.9
8,9,Bulldog,1.7,0.5,10.9%,75.0%,14.1%,105.6
9,10,Judge,1.6,0,10.7%,72.3%,17.1%,94
10,11,Classic,1.6,0.2,11.6%,76.1%,12.3%,69.8
11,12,Sheriff,1.5,0,18.2%,73.8%,8.0%,102.2
12,13,Marshal,1.2,1.1,18.1%,75.0%,7.0%,119.4
13,14,Frenzy,1.1,0,12.8%,75.1%,12.1%,77.7
14,15,Stinger,1.1,0.2,13.9%,72.7%,13.5%,91.7
15,16,Bucky,1,0,12.4%,74.3%,13.4%,86.7
16,17,Shorty,0.8,0,12.8%,72.3%,14.9%,76.5
