,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.8,0.3,24.9%,69.2%,6.0%,129.5
1,2,Phantom,8.5,0,22.5%,70.8%,6.7%,125.3
2,3,Operator,4.1,4,10.6%,84.5%,4.8%,149.9
3,4,Ares,3,1.8,14.2%,71.8%,14.0%,96
4,5,Ghost,2.6,0,27.5%,68.0%,4.5%,88.1
5,6,Spectre,2.6,0,19.0%,72.8%,8.2%,93.5
6,7,Sheriff,2.5,0,29.3%,66.8%,3.9%,111.1
7,8,Odin,2.1,1.4,14.9%,69.4%,15.6%,109.1
8,9,Judge,1.6,0,12.7%,75.4%,11.9%,98.2
9,10,Classic,1.6,0.6,22.5%,71.9%,5.6%,81.4
10,11,Bulldog,1.4,0.4,22.5%,71.5%,6.0%,110
11,12,Guardian,1.4,0.3,29.3%,66.7%,4.0%,141.4
12,13,Marshal,1.4,1.2,26.7%,69.3%,4.0%,130.7
13,14,Frenzy,1.1,0,20.7%,73.1%,6.2%,84.4
14,15,Shorty,0.8,0,15.2%,75.0%,9.7%,96.3
15,16,Bucky,0.7,0,15.5%,76.5%,8.0%,90.9
16,17,Stinger,0.7,0.1,19.9%,72.6%,7.5%,95.2
