,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,22.6,0.6,26.4%,68.0%,5.6%,129.8
1,2,Phantom,6.6,0.1,23.1%,70.2%,6.6%,125
2,3,Operator,3.8,9.8%,85.8%,4.4%,149.5,
3,4,Ghost,3.1,0,28.8%,67.0%,4.2%,87.5
4,5,Spectre,3.1,0,18.9%,73.0%,8.1%,92.3
5,6,Sheriff,2.7,0,30.4%,66.0%,3.6%,112.2
6,7,Odin,2.3,1.4,11.8%,70.8%,17.4%,108.6
7,8,Judge,1.7,0,12.7%,75.7%,11.6%,99.6
8,9,Bulldog,1.6,0.4,23.5%,70.2%,6.3%,108.8
9,10,Guardian,1.6,0.4,30.3%,65.5%,4.1%,143.6
10,11,Classic,1.5,0.5,22.9%,71.7%,5.4%,81.4
11,12,Marshal,1.5,1.3,24.8%,71.6%,3.5%,128.7
12,13,Ares,1.3,0.7,17.2%,69.5%,13.3%,91.3
13,14,Frenzy,1.2,0,21.2%,72.7%,6.0%,83.5
14,15,Stinger,1.2,0.1,20.7%,72.9%,6.4%,98.8
15,16,Bucky,0.9,0,14.9%,76.7%,8.4%,95.5
16,17,Shorty,0.9,0,14.8%,75.3%,9.9%,96.5
