,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.6,0.3,21.2%,72.1%,6.7%,128.2
1,2,Phantom,7.2,0.1,19.3%,73.2%,7.4%,124.8
2,3,Operator,3.6,3.5,10.4%,85.2%,4.3%,150
3,4,Ares,2.7,1.6,12.5%,71.8%,15.7%,97.5
4,5,Spectre,2.7,0,16.1%,74.6%,9.3%,94.3
5,6,Odin,2.6,1.6,12.1%,71.7%,16.2%,113.2
6,7,Ghost,2.4,0,23.5%,71.1%,5.4%,86.9
7,8,Sheriff,1.9,0,26.2%,69.1%,4.7%,108.2
8,9,Judge,1.6,0,13.5%,74.5%,12.0%,99.5
9,10,Classic,1.5,0.5,19.3%,73.8%,6.8%,78.1
10,11,Guardian,1.5,0.4,25.7%,69.4%,4.9%,140.4
11,12,Bulldog,1.4,0.4,17.8%,74.0%,8.2%,109.3
12,13,Marshal,1.3,1.2,24.0%,72.0%,4.1%,127.8
13,14,Frenzy,1.1,0,18.8%,74.2%,7.0%,83.3
14,15,Bucky,0.8,0,16.3%,75.8%,8.0%,94.2
15,16,Shorty,0.8,0,15.3%,74.3%,10.4%,89.6
16,17,Stinger,0.8,0.1,18.7%,73.1%,8.2%,95.3
