,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.6,0.3,21.7%,71.7%,6.5%,128.5
1,2,Phantom,7.1,0.1,19.8%,73.0%,7.2%,124.9
2,3,Operator,3.6,3.5,10.6%,85.1%,4.4%,150
3,4,Ares,2.7,1.6,12.7%,72.1%,15.2%,97.3
4,5,Spectre,2.6,0,16.7%,74.2%,9.1%,94.4
5,6,Odin,2.5,1.6,12.4%,72.0%,15.7%,113.8
6,7,Ghost,2.3,0,24.1%,70.7%,5.2%,87.2
7,8,Sheriff,1.9,0,26.7%,68.8%,4.5%,109
8,9,Judge,1.6,0,13.5%,74.8%,11.7%,98.5
9,10,Classic,1.5,0.5,20.0%,73.5%,6.5%,79
10,11,Guardian,1.4,0.4,26.1%,68.9%,5.0%,140.4
11,12,Bulldog,1.3,0.4,18.6%,73.7%,7.7%,107.7
12,13,Marshal,1.3,1.2,24.4%,71.6%,4.0%,127.3
13,14,Frenzy,1.1,0,20.0%,73.1%,6.8%,85.1
14,15,Bucky,0.8,0,15.7%,75.3%,8.9%,94
15,16,Shorty,0.8,0,15.4%,74.1%,10.4%,91.5
16,17,Stinger,0.8,0.1,18.4%,73.1%,8.5%,95.9
