,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,22.5,0.4,24.9%,69.2%,6.0%,129.1
1,2,Phantom,8.8,0,22.0%,71.3%,6.8%,124.5
2,3,Operator,4.1,4,9.4%,86.2%,4.4%,149.1
3,4,Spectre,3.8,0,18.1%,73.5%,8.4%,92.3
4,5,Ghost,3,0,27.2%,68.4%,4.5%,87.3
5,6,Sheriff,2.7,0,29.4%,66.6%,4.0%,110.8
6,7,Odin,2.3,1.5,12.2%,71.5%,16.3%,110
7,8,Judge,1.8,0,12.8%,75.6%,11.6%,98.1
8,9,Classic,1.8,0.6,21.4%,73.1%,5.5%,78.8
9,10,Bulldog,1.5,0.3,22.1%,71.3%,6.6%,109.5
10,11,Guardian,1.5,0.3,29.6%,66.0%,4.4%,142.7
11,12,Marshal,1.5,1.2,23.8%,72.3%,3.9%,127
12,13,Frenzy,1.3,0,20.5%,73.2%,6.2%,83.2
13,14,Ares,1.1,0.6,16.5%,69.2%,14.2%,92.5
14,15,Bucky,0.8,0,15.2%,76.7%,8.1%,94.7
15,16,Shorty,0.8,0,14.2%,75.6%,10.2%,92.3
16,17,Stinger,0.8,0.1,19.4%,72.8%,7.8%,98.2
