,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,19.6,0.5,27.1%,67.4%,5.5%,130
1,2,Phantom,5.9,0,23.5%,70.1%,6.4%,125.1
2,3,Operator,3.7,9.6%,86.0%,4.5%,149.5,
3,4,Ghost,2.8,0,29.7%,66.4%,3.9%,87.7
4,5,Spectre,2.7,0,19.4%,72.6%,8.1%,92
5,6,Sheriff,2.5,0,31.3%,65.2%,3.5%,113
6,7,Odin,2.3,1.3,12.5%,70.8%,16.8%,106.5
7,8,Bulldog,1.6,0.4,24.5%,69.5%,6.0%,109
8,9,Judge,1.6,0,12.4%,75.9%,11.6%,99.3
9,10,Guardian,1.5,0.4,31.4%,64.5%,4.1%,144.1
10,11,Marshal,1.4,1.2,25.5%,71.1%,3.4%,129
11,12,Classic,1.3,0.5,23.4%,71.5%,5.2%,82
12,13,Ares,1.2,0.7,16.4%,70.3%,13.3%,93.6
13,14,Frenzy,1.2,0,21.2%,73.0%,5.7%,82.4
14,15,Stinger,1.1,0.1,20.6%,73.2%,6.2%,100
15,16,Bucky,0.9,0,14.6%,77.3%,8.1%,97.1
16,17,Shorty,0.9,0,14.7%,75.8%,9.5%,97.7
