,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,11.8,1.1,15.1%,74.4%,10.5%,124.9
1,2,Phantom,6.9,0.5,13.8%,74.6%,11.6%,121.1
2,3,Spectre,4.5,0.3,11.5%,75.2%,13.2%,95.4
3,4,Operator,3.4,2.7,10.5%,84.7%,4.8%,149.6
4,5,Odin,3.1,1.9,9.6%,69.8%,20.6%,114.5
5,6,Ares,2.8,1.9,7.7%,72.0%,20.3%,98.8
6,7,Ghost,2.7,0,16.2%,74.8%,9.0%,84.4
7,8,Classic,1.8,0.5,13.6%,76.0%,10.4%,71.9
8,9,Sheriff,1.7,0,20.1%,73.4%,6.5%,103.8
9,10,Guardian,1.7,0.7,17.8%,74.8%,7.4%,135.7
10,11,Judge,1.6,0,11.9%,73.1%,15.0%,95.7
11,12,Bulldog,1.4,0.4,12.1%,75.7%,12.2%,106.6
12,13,Marshal,1.4,1,20.5%,74.0%,5.6%,123.9
13,14,Frenzy,1.2,0,14.3%,75.4%,10.2%,79.8
14,15,Bucky,0.9,0,13.6%,74.5%,11.8%,86.2
15,16,Stinger,0.9,0.2,14.8%,72.9%,12.3%,91.6
16,17,Shorty,0.8,0,13.9%,72.4%,13.7%,81.3
