,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,17.7,0.5,22.0%,71.6%,6.4%,128.2
1,2,Phantom,5.8,0.1,19.4%,73.1%,7.5%,124.1
2,3,Operator,3.4,3.3,10.0%,85.6%,4.4%,149.8
3,4,Spectre,2.9,0,16.0%,74.5%,9.5%,92.7
4,5,Ghost,2.7,0,23.9%,70.9%,5.2%,86
5,6,Odin,2.5,1.6,10.9%,71.4%,17.7%,112
6,7,Sheriff,2,0,26.6%,69.3%,4.1%,108.9
7,8,Judge,1.7,0,12.9%,75.4%,11.8%,99
8,9,Bulldog,1.5,0.3,18.4%,73.9%,7.7%,107.6
9,10,Classic,1.5,0.4,19.7%,73.9%,6.4%,77.8
10,11,Guardian,1.5,0.4,25.4%,70.0%,4.6%,140.5
11,12,Marshal,1.4,1.2,23.3%,72.6%,4.1%,126.7
12,13,Ares,1.3,0.8,13.9%,70.9%,15.2%,94.7
13,14,Frenzy,1.1,0,19.0%,74.0%,7.0%,82.3
14,15,Stinger,1.1,0.1,18.9%,73.6%,7.6%,97.6
15,16,Bucky,1,0,14.9%,76.5%,8.6%,93.2
16,17,Shorty,0.8,0,15.0%,74.7%,10.3%,90.9
