,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.8,1.1,15.2%,74.4%,10.4%,124.6
1,2,Phantom,6.1,0.5,13.5%,74.7%,11.8%,120.5
2,3,Spectre,4.1,0.3,11.3%,75.1%,13.6%,94.2
3,4,Operator,3.3,10.4%,84.5%,5.1%,150.2,
4,5,Odin,3,1.8,8.4%,68.9%,22.6%,114.1
5,6,Ghost,2.7,0,16.2%,75.0%,8.8%,84.2
6,7,Ares,2.2,1.5,11.1%,71.0%,17.9%,98.6
7,8,Guardian,1.8,0.7,16.7%,75.6%,7.7%,135
8,9,Classic,1.7,0.4,13.7%,76.0%,10.3%,71.7
9,10,Sheriff,1.7,0,20.1%,73.3%,6.6%,103.3
10,11,Judge,1.6,0,11.8%,73.2%,15.0%,95.5
11,12,Bulldog,1.5,0.4,12.0%,75.6%,12.4%,107.3
12,13,Marshal,1.4,1.3,20.5%,73.5%,6.0%,123.6
13,14,Frenzy,1.1,0,14.2%,75.6%,10.2%,79.4
14,15,Stinger,1,0.2,14.6%,73.2%,12.2%,92.4
15,16,Bucky,0.9,0,13.6%,74.8%,11.6%,87.3
16,17,Shorty,0.8,0,13.8%,72.6%,13.6%,80.8
