,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.9,16.1%,74.5%,9.3%,125.4,
1,2,Phantom,5.9,0.4,14.2%,74.9%,10.9%,121.6
2,3,Spectre,3.5,0.2,11.6%,75.4%,13.0%,94.3
3,4,Operator,3.1,9.9%,85.5%,4.7%,150.4,
4,5,Odin,2.9,1.8,8.5%,69.2%,22.2%,114.2
5,6,Ghost,2.7,0,16.9%,74.8%,8.3%,84.3
6,7,Ares,2,1.3,10.6%,71.1%,18.3%,98.9
7,8,Guardian,1.8,0.7,17.1%,75.6%,7.3%,135.7
8,9,Judge,1.6,0,11.8%,74.0%,14.2%,96.9
9,10,Classic,1.6,0.3,14.1%,76.3%,9.6%,72.2
10,11,Sheriff,1.6,0,21.0%,73.0%,6.0%,104.2
11,12,Bulldog,1.5,0.4,12.6%,76.0%,11.4%,107.1
12,13,Marshal,1.3,1.2,20.4%,74.3%,5.3%,123.8
13,14,Stinger,1.2,0.1,15.5%,73.8%,10.7%,93.9
14,15,Frenzy,1.1,0,14.9%,75.5%,9.6%,79.4
15,16,Bucky,0.9,0,13.8%,75.5%,10.7%,89.1
16,17,Shorty,0.8,0,13.9%,73.3%,12.8%,81.2
