,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.7,0.4,20.4%,72.6%,6.9%,127.6
1,2,Phantom,7.2,0.1,18.5%,73.8%,7.7%,124.1
2,3,Operator,3.5,10.6%,84.6%,4.8%,150,
3,4,Ares,2.7,1.6,12.2%,71.9%,15.9%,97.4
4,5,Spectre,2.7,0,15.6%,74.6%,9.8%,94.2
5,6,Odin,2.6,1.7,11.4%,71.8%,16.8%,113.9
6,7,Ghost,2.4,0,22.7%,71.7%,5.6%,86.2
7,8,Sheriff,1.8,0,25.4%,69.8%,4.8%,107.3
8,9,Judge,1.6,0,13.1%,74.5%,12.4%,98.3
9,10,Classic,1.5,0.5,18.7%,74.2%,7.1%,77.2
10,11,Guardian,1.5,0.5,24.4%,70.6%,5.1%,139.8
11,12,Bulldog,1.4,0.4,17.3%,74.8%,7.9%,108.9
12,13,Marshal,1.3,1.2,23.9%,71.9%,4.2%,127.8
13,14,Frenzy,1.1,0,18.3%,74.4%,7.2%,82.8
14,15,Bucky,0.8,0,15.7%,75.8%,8.5%,92.9
15,16,Shorty,0.8,0,15.1%,74.3%,10.6%,90.3
16,17,Stinger,0.8,0.1,17.7%,72.6%,9.7%,94
