,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.6,0.4,20.1%,73.1%,6.9%,126.3
1,2,Phantom,7.7,0.1,18.5%,73.9%,7.7%,123.4
2,3,Spectre,3.4,0.1,15.8%,75.3%,8.9%,94.2
3,4,Operator,3.3,0,10.0%,86.0%,4.1%,146.8
4,5,Ghost,2.8,0,23.7%,71.4%,4.9%,87.1
5,6,Odin,2.4,1.6,11.7%,71.8%,16.5%,111.7
6,7,Judge,1.9,0,13.5%,74.1%,12.4%,98.7
7,8,Classic,1.8,0.7,19.9%,74.0%,6.1%,79.3
8,9,Sheriff,1.7,0,25.6%,70.1%,4.3%,107.9
9,10,Frenzy,1.4,0,19.1%,74.5%,6.4%,84.2
10,11,Ares,1.2,0.8,9.8%,71.5%,18.8%,94
11,12,Bulldog,1.2,0.3,17.3%,74.5%,8.2%,106.3
12,13,Bucky,1.2,0.7,14.9%,74.3%,10.8%,90.2
13,14,Guardian,1.2,0.3,25.1%,70.5%,4.4%,138.5
14,15,Marshal,1,0,21.4%,74.5%,4.1%,122.2
15,16,Stinger,0.9,0.1,20.1%,72.7%,7.2%,93.8
16,17,Shorty,0.6,0,15.6%,73.6%,10.8%,85.4
