,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.4,1.5,13.5%,74.0%,12.5%,121.9
1,2,Phantom,5.7,0.8,12.0%,73.7%,14.3%,117.9
2,3,Spectre,4.4,0.6,10.3%,74.2%,15.4%,92.9
3,4,Odin,2.9,1.8,7.9%,67.2%,24.9%,113.2
4,5,Operator,2.9,10.0%,84.2%,5.7%,149.3,
5,6,Ares,2.6,1.7,9.9%,70.0%,20.1%,98.4
6,7,Ghost,2.5,0,13.6%,75.2%,11.2%,82.8
7,8,Guardian,2.1,0.9,13.2%,76.1%,10.7%,131.9
8,9,Bulldog,1.7,0.5,10.7%,75.0%,14.3%,105.2
9,10,Classic,1.7,0.3,11.6%,76.0%,12.3%,69.5
10,11,Judge,1.5,0,10.8%,72.0%,17.3%,92.9
11,12,Sheriff,1.5,0,17.7%,74.0%,8.3%,101.6
12,13,Marshal,1.3,1.2,18.6%,74.5%,6.9%,120.6
13,14,Frenzy,1.1,0,13.3%,74.9%,11.7%,78.2
14,15,Bucky,0.9,0,12.3%,74.1%,13.6%,84
15,16,Stinger,0.9,0.2,13.0%,71.8%,15.2%,89.8
16,17,Shorty,0.8,0,12.6%,71.9%,15.5%,76.5
