,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.8,2.2,12.5%,74.0%,13.4%,121.3
1,2,Phantom,7,1.3,11.6%,73.7%,14.6%,117.8
2,3,Spectre,5.4,0.9,10.3%,74.6%,15.1%,94.2
3,4,Ares,2.7,6.8%,70.3%,22.8%,98.6,
4,5,Odin,3.4,2.1,8.7%,68.3%,23.0%,113.6
5,6,Ghost,3.2,0,13.1%,75.4%,11.5%,82.7
6,7,Operator,2.8,0,9.8%,84.5%,5.6%,146.3
7,8,Judge,2.2,0,10.5%,70.5%,19.1%,95.1
8,9,Classic,1.9,0.4,11.1%,76.3%,12.6%,70.2
9,10,Guardian,1.8,0.8,12.7%,76.1%,11.2%,130.4
10,11,Bulldog,1.5,0.6,10.1%,74.6%,15.3%,104.1
11,12,Sheriff,1.4,0,16.3%,74.8%,8.9%,101.3
12,13,Frenzy,1.3,0,13.0%,75.7%,11.4%,78
13,14,Marshal,1.2,0,17.6%,75.6%,6.8%,119
14,15,Bucky,0.9,0,11.9%,72.9%,15.1%,80.8
15,16,Stinger,0.9,0.2,13.6%,71.9%,14.5%,90.2
16,17,Shorty,0.8,0,11.8%,70.1%,18.1%,71.5
