,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,27,0.5,24.2%,69.6%,6.2%,127.9
1,2,Phantom,16.7,0.1,21.8%,71.3%,6.9%,123.7
2,3,Spectre,5.7,0.1,18.2%,73.3%,8.5%,92.8
3,4,Operator,5.1,0,10.3%,85.2%,4.4%,148.6
4,5,Sheriff,4.4,0,29.3%,66.6%,4.1%,110.6
5,6,Ghost,4.3,0,27.5%,67.7%,4.8%,87.9
6,7,Classic,3.3,1.7,22.9%,71.5%,5.6%,82.5
7,8,Odin,2.6,1.7,13.1%,70.1%,16.8%,108.1
8,9,Judge,2.1,0,13.2%,74.7%,12.0%,97.9
9,10,Marshal,1.9,0,25.2%,71.3%,3.5%,128.8
10,11,Frenzy,1.7,0,21.3%,72.2%,6.6%,84.5
11,12,Guardian,1.6,0.4,29.6%,65.9%,4.4%,141.6
12,13,Bulldog,1.5,0.5,21.8%,71.5%,6.7%,107.1
13,14,Ares,1.3,0.9,11.3%,71.5%,17.3%,91.1
14,15,Shorty,0.9,0,14.5%,75.0%,10.5%,93.2
15,16,Bucky,0.8,0,15.4%,75.8%,8.7%,93.5
16,17,Stinger,0.8,0.1,20.5%,72.1%,7.4%,95.2
