,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.3,0.4,20.5%,72.6%,7.0%,127.4
1,2,Phantom,8.1,0.1,18.8%,73.5%,7.7%,123.8
2,3,Operator,3.9,3.1,10.7%,85.0%,4.2%,149.9
3,4,Spectre,3.6,0.1,15.5%,74.8%,9.6%,94.3
4,5,Odin,2.6,1.6,11.7%,71.6%,16.8%,112.4
5,6,Ghost,2.6,0,22.6%,71.8%,5.6%,86.2
6,7,Sheriff,2.1,0,25.6%,69.8%,4.6%,107.6
7,8,Classic,1.8,0.6,19.0%,74.1%,6.9%,77.4
8,9,Judge,1.6,0,13.1%,74.6%,12.3%,98.1
9,10,Ares,1.4,0.9,9.9%,72.9%,17.1%,95.7
10,11,Guardian,1.4,0.4,25.2%,69.9%,4.8%,139.7
11,12,Marshal,1.4,1,23.2%,72.6%,4.2%,126.8
12,13,Bulldog,1.2,0.3,17.4%,74.2%,8.3%,107.4
13,14,Frenzy,1.1,0,18.6%,74.1%,7.3%,83.1
14,15,Bucky,0.8,0,15.6%,75.8%,8.6%,92.2
15,16,Shorty,0.8,0,15.1%,74.0%,10.8%,90.1
16,17,Stinger,0.8,0.1,18.1%,73.1%,8.8%,95.3
