,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,20,0.6,24.0%,70.0%,6.0%,129
1,2,Phantom,6.3,0.1,21.1%,72.0%,7.0%,124.6
2,3,Operator,3.5,9.9%,85.6%,4.5%,149.5,
3,4,Spectre,3,0,17.4%,73.9%,8.7%,92.5
4,5,Ghost,2.9,0,26.2%,69.1%,4.7%,86.9
5,6,Odin,2.5,1.5,11.7%,71.4%,16.9%,111.3
6,7,Sheriff,2.3,0,28.5%,67.6%,3.9%,110.6
7,8,Judge,1.7,0,12.7%,75.5%,11.8%,98.8
8,9,Bulldog,1.6,0.3,20.6%,72.3%,7.1%,108
9,10,Classic,1.5,0.5,21.3%,72.9%,5.9%,79.8
10,11,Guardian,1.5,0.4,27.7%,68.1%,4.2%,141.4
11,12,Marshal,1.4,1.2,24.2%,71.9%,3.9%,127.7
12,13,Ares,1.2,0.7,15.8%,70.6%,13.6%,93.7
13,14,Frenzy,1.1,0,20.2%,73.3%,6.5%,82.8
14,15,Stinger,1.1,0.1,19.8%,73.1%,7.1%,98.7
15,16,Bucky,0.9,0,14.8%,76.6%,8.6%,94.4
16,17,Shorty,0.8,0,14.9%,74.9%,10.2%,93.1
