,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.2,0.3,22.6%,70.9%,6.5%,127.3
1,2,Phantom,10.3,0.1,20.8%,72.1%,7.1%,123.6
2,3,Operator,4.2,0,10.5%,85.1%,4.5%,148.9
3,4,Spectre,3.7,0,17.3%,73.8%,8.9%,93
4,5,Ghost,2.7,0,25.5%,69.4%,5.1%,87.2
5,6,Sheriff,2.4,0,27.9%,67.9%,4.2%,109.2
6,7,Odin,2.3,1.5,12.6%,70.5%,16.9%,108.9
7,8,Classic,2.1,1.1,21.9%,72.1%,6.0%,80.8
8,9,Judge,1.6,0,13.0%,75.1%,11.9%,97.3
9,10,Marshal,1.5,0,25.3%,70.8%,3.8%,128.9
10,11,Guardian,1.4,0.4,27.6%,67.9%,4.5%,138.9
11,12,Ares,1.2,0.8,10.7%,72.2%,17.1%,92.5
12,13,Bulldog,1.2,0.3,19.9%,72.9%,7.2%,108.2
13,14,Frenzy,1.2,0,20.6%,72.7%,6.7%,84.9
14,15,Shorty,0.8,0,14.8%,75.0%,10.2%,91.8
15,16,Bucky,0.7,0,15.5%,76.6%,7.9%,93.8
16,17,Stinger,0.7,0.1,18.5%,73.6%,7.8%,94
