,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15,0.6,19.6%,73.2%,7.2%,127.7
1,2,Phantom,6.2,0.1,17.2%,74.4%,8.3%,123.8
2,3,Operator,3.3,9.9%,85.8%,4.3%,150.2,
3,4,Spectre,3.1,0.1,14.2%,75.3%,10.5%,94.1
4,5,Odin,2.6,1.6,10.0%,71.2%,18.7%,113.4
5,6,Ghost,2.6,0,21.0%,72.9%,6.1%,85.4
6,7,Sheriff,1.7,0,24.6%,70.7%,4.7%,107.1
7,8,Judge,1.6,0,12.7%,75.1%,12.2%,98.2
8,9,Guardian,1.6,0.5,22.0%,72.9%,5.2%,138.5
9,10,Bulldog,1.5,0.3,15.8%,75.4%,8.8%,108.1
10,11,Classic,1.5,0.4,17.3%,75.3%,7.4%,75.6
11,12,Ares,1.4,0.9,12.8%,71.4%,15.8%,97.3
12,13,Marshal,1.3,1.2,22.0%,73.6%,4.4%,125.5
13,14,Stinger,1.2,0.1,17.9%,73.8%,8.3%,96.5
14,15,Frenzy,1.1,0,17.1%,75.3%,7.6%,81.4
15,16,Bucky,0.9,0,14.8%,76.5%,8.8%,91.8
16,17,Shorty,0.8,0,14.7%,74.4%,10.8%,87.4
