,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,19.5,0.3,26.5%,67.7%,5.8%,129.9
1,2,Phantom,11.7,0,24.0%,69.2%,6.7%,125.5
2,3,Operator,5.1,0,10.8%,85.0%,4.2%,149.3
3,4,Spectre,3.7,0.1,19.6%,72.6%,7.8%,93.5
4,5,Sheriff,3.4,0,30.5%,65.6%,3.9%,111.8
5,6,Ghost,3.3,0,29.8%,65.6%,4.5%,89.7
6,7,Odin,2.4,1.4,14.0%,70.8%,15.1%,107.2
7,8,Classic,2.2,1.2,24.1%,70.3%,5.6%,86.5
8,9,Judge,1.9,0,12.4%,74.6%,13.0%,98
9,10,Marshal,1.8,0,27.6%,69.0%,3.5%,133.4
10,11,Guardian,1.7,0.4,35.0%,61.2%,3.7%,148.4
11,12,Bulldog,1.5,0.5,24.1%,69.9%,6.0%,110.5
12,13,Frenzy,1.2,0,20.7%,72.8%,6.6%,83.6
13,14,Ares,1.1,0.7,10.2%,72.3%,17.5%,93.9
14,15,Bucky,0.9,0,14.1%,76.2%,9.7%,93.4
15,16,Shorty,0.9,0,14.0%,74.2%,11.8%,98.7
16,17,Stinger,0.8,0.1,19.8%,73.2%,6.9%,91.8
