,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.8,2,13.0%,73.4%,13.6%,120.8
1,2,Phantom,5.7,1.1,11.6%,73.0%,15.4%,116.5
2,3,Spectre,4.8,0.8,10.2%,73.6%,16.2%,91.9
3,4,Odin,3,1.8,7.8%,66.0%,26.2%,112.1
4,5,Operator,2.8,10.0%,83.5%,6.5%,148.3,
5,6,Ares,2.7,1.8,9.6%,68.9%,21.4%,97.6
6,7,Ghost,2.6,0,12.7%,74.8%,12.5%,82.2
7,8,Guardian,2.4,1.1,12.1%,75.8%,129.7,
8,9,Bulldog,1.8,0.6,10.1%,74.1%,15.8%,103.8
9,10,Classic,1.8,0.2,10.9%,75.7%,13.4%,68.7
10,11,Judge,1.6,0,10.1%,71.6%,18.3%,92
11,12,Sheriff,1.5,0,17.2%,73.7%,9.0%,101.2
12,13,Marshal,1.2,1.1,17.8%,74.5%,7.7%,118.9
13,14,Frenzy,1.1,0,12.8%,74.7%,12.6%,76.8
14,15,Stinger,1,0.2,12.9%,72.1%,15.0%,89.7
15,16,Bucky,0.9,0,12.0%,73.2%,14.8%,83
16,17,Shorty,0.8,0,12.1%,71.6%,16.3%,73.8
