,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.9,0.8,16.3%,74.4%,9.3%,125.8
1,2,Phantom,8.2,0.3,15.0%,74.8%,10.2%,122.2
2,3,Spectre,4.2,0.2,12.5%,75.5%,12.0%,95.6
3,4,Operator,3.6,0,10.6%,84.8%,4.6%,149.4
4,5,Odin,3.1,2,10.1%,70.5%,19.3%,114.2
5,6,Ghost,2.7,0,18.0%,74.3%,7.7%,85.1
6,7,Ares,2.3,1.5,8.2%,72.6%,19.2%,98.4
7,8,Classic,2.1,0.9,15.5%,75.6%,8.9%,74.8
8,9,Sheriff,1.7,0,21.7%,72.4%,5.9%,104.8
9,10,Guardian,1.7,0.6,19.7%,74.1%,6.2%,136.9
10,11,Judge,1.6,0,12.4%,73.7%,13.9%,96.3
11,12,Marshal,1.5,0,21.5%,73.4%,5.1%,125
12,13,Bulldog,1.3,0.4,13.4%,75.9%,10.7%,106.8
13,14,Frenzy,1.2,0,15.4%,75.3%,9.3%,81.4
14,15,Bucky,0.9,0,14.5%,75.3%,10.2%,88.5
15,16,Stinger,0.9,0.1,16.1%,73.2%,10.7%,93.3
16,17,Shorty,0.8,0,14.3%,73.4%,12.3%,84.8
