,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.1,0.3,23.7%,70.0%,6.2%,128.7
1,2,Phantom,6.8,0,21.1%,71.9%,7.0%,124.6
2,3,Operator,3.9,3.8,10.4%,85.1%,4.4%,150
3,4,Spectre,3,0,17.6%,73.6%,8.8%,92.8
4,5,Ghost,2.4,0,26.0%,69.2%,4.8%,87.2
5,6,Odin,2.3,1.4,11.9%,71.1%,16.9%,110.3
6,7,Sheriff,2.2,0,28.5%,67.3%,4.2%,110.3
7,8,Judge,1.7,0,13.3%,75.0%,11.7%,99.1
8,9,Classic,1.4,0.5,21.2%,72.9%,5.8%,80.3
9,10,Guardian,1.4,0.3,27.9%,67.4%,4.6%,140.9
10,11,Marshal,1.4,1.2,24.5%,71.4%,4.1%,127.9
11,12,Bulldog,1.3,0.3,20.5%,72.5%,7.0%,108.8
12,13,Ares,1.1,0.6,16.7%,69.5%,13.8%,92.8
13,14,Frenzy,1.1,0,20.2%,73.4%,6.4%,83.4
14,15,Bucky,0.8,0,16.1%,75.7%,8.1%,94.6
15,16,Shorty,0.8,0,15.1%,74.5%,10.4%,92.4
16,17,Stinger,0.7,0.1,19.6%,72.3%,8.1%,96.2
