,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,6.8,1.5,12.0%,72.3%,15.8%,119.2
1,2,Phantom,5.8,1.2,11.1%,71.9%,17.0%,115.4
2,3,Spectre,4.7,0.8,9.9%,72.6%,17.5%,92.1
3,4,Ares,3.8,2.4,6.6%,67.8%,25.6%,96.5
4,5,Odin,2.9,1.7,8.3%,66.2%,25.5%,112.2
5,6,Operator,2.6,0,10.1%,83.0%,6.9%,145.7
6,7,Ghost,2.1,0,11.7%,73.9%,14.4%,80.9
7,8,Guardian,1.9,0.9,11.9%,74.4%,13.7%,127
8,9,Bulldog,1.6,0.6,9.7%,72.5%,17.8%,101.9
9,10,Judge,1.6,0,9.6%,69.8%,20.6%,90.2
10,11,Classic,1.6,0.4,10.2%,74.6%,15.2%,68.3
11,12,Sheriff,1.4,0,16.3%,73.2%,10.5%,100.5
12,13,Frenzy,1.1,0,12.6%,73.7%,13.6%,75.9
13,14,Marshal,1.1,0,16.8%,75.3%,8.0%,116.7
14,15,Shorty,0.9,0,12.1%,69.0%,18.9%,72.6
15,16,Stinger,0.9,0.2,12.4%,70.3%,17.3%,87
16,17,Bucky,0.8,0,10.9%,72.0%,17.0%,80.8
