,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.8,0.4,20.0%,73.0%,7.0%,127.8
1,2,Phantom,6.7,0.1,17.8%,74.2%,8.0%,123.9
2,3,Operator,3.4,9.8%,85.9%,4.2%,150,
3,4,Spectre,3.3,0.1,14.8%,75.2%,10.1%,93.8
4,5,Odin,2.6,1.7,10.5%,71.5%,18.0%,113.1
5,6,Ghost,2.5,0,21.8%,72.4%,5.8%,86
6,7,Sheriff,1.9,0,24.8%,70.4%,4.8%,107.1
7,8,Judge,1.6,0,12.9%,75.0%,12.1%,97.9
8,9,Classic,1.6,0.5,17.7%,75.2%,7.1%,75.8
9,10,Guardian,1.5,0.5,23.4%,71.7%,5.0%,139.7
10,11,Bulldog,1.4,0.3,16.4%,75.2%,8.4%,107.9
11,12,Marshal,1.4,1.2,22.3%,73.3%,4.5%,125.4
12,13,Ares,1.3,0.8,13.9%,71.1%,15.0%,96.1
13,14,Frenzy,1.1,0,17.9%,74.8%,7.4%,82
14,15,Bucky,0.9,0,15.0%,76.3%,8.7%,92
15,16,Stinger,0.9,0.1,17.7%,73.2%,9.1%,96.5
16,17,Shorty,0.8,0,14.8%,74.2%,11.0%,87.6
