,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.6,0.6,20.2%,72.8%,7.0%,127.7
1,2,Phantom,5.6,0.1,17.7%,74.1%,8.2%,123.6
2,3,Operator,3.3,3.2,9.9%,85.7%,4.3%,150.1
3,4,Spectre,3,0.1,14.6%,75.1%,10.3%,93.4
4,5,Odin,2.7,1.7,10.1%,71.3%,18.6%,113.2
5,6,Ghost,2.7,0,21.8%,72.4%,5.8%,85.5
6,7,Sheriff,1.8,0,25.1%,70.3%,4.6%,107.5
7,8,Judge,1.7,0,12.7%,75.0%,12.3%,98.7
8,9,Guardian,1.6,0.5,23.0%,72.0%,5.0%,138.6
9,10,Bulldog,1.5,0.3,16.4%,75.0%,8.6%,107.3
10,11,Classic,1.5,0.4,17.9%,74.9%,7.2%,76.1
11,12,Ares,1.4,0.8,12.8%,71.6%,15.6%,96.7
12,13,Marshal,1.4,1.2,22.1%,73.4%,4.5%,125.8
13,14,Stinger,1.2,0.1,17.9%,73.9%,8.2%,96.8
14,15,Frenzy,1.1,0,17.7%,74.7%,7.7%,81.6
15,16,Bucky,1,0,14.7%,76.5%,8.8%,92.9
16,17,Shorty,0.8,0,14.8%,74.1%,11.1%,88
