,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,7.5,2.1,11.6%,71.9%,16.4%,118
1,2,Phantom,5.9,1.5,10.9%,71.6%,17.5%,114.3
2,3,Spectre,5.3,1.2,9.9%,72.2%,17.9%,91.3
3,4,Ares,4.5,2.9,6.8%,67.9%,25.2%,95.9
4,5,Odin,2.9,1.8,8.5%,66.1%,25.4%,110.8
5,6,Operator,2.6,0,10.1%,82.7%,7.2%,144.6
6,7,Ghost,2.4,0,11.1%,73.9%,15.0%,80.2
7,8,Guardian,2,0.9,11.4%,73.9%,14.7%,125.1
8,9,Judge,1.8,0,9.4%,69.3%,21.3%,88.7
9,10,Classic,1.8,0.3,9.8%,74.4%,15.8%,67.9
10,11,Bulldog,1.7,0.6,9.2%,73.1%,17.7%,101.4
11,12,Sheriff,1.4,0,15.9%,72.6%,11.5%,100
12,13,Frenzy,1.2,0,12.4%,73.7%,14.0%,75.3
13,14,Marshal,1.2,0,16.2%,74.7%,9.1%,116.8
14,15,Bucky,0.9,0,10.5%,71.0%,18.5%,79.3
15,16,Stinger,0.9,0.2,12.6%,69.2%,18.3%,84.9
16,17,Shorty,0.8,0,11.1%,68.6%,20.3%,67.8
