,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.4,1.6,14.2%,74.8%,11.1%,123.9
1,2,Phantom,7.2,0.8,13.0%,74.8%,12.1%,120.3
2,3,Spectre,4.6,0.4,11.2%,75.6%,13.2%,95.6
3,4,Odin,3.3,2.1,9.2%,69.9%,20.9%,114.7
4,5,Ghost,3.2,0,15.5%,75.4%,9.1%,84.3
5,6,Operator,3.1,0,10.1%,85.1%,4.9%,147.9
6,7,Ares,3,2,7.3%,71.9%,20.8%,99.2
7,8,Judge,2.1,0,11.5%,71.9%,16.6%,96.6
8,9,Classic,1.8,0.5,13.1%,76.6%,10.3%,72.6
9,10,Guardian,1.7,0.7,15.7%,76.1%,8.1%,133.9
10,11,Sheriff,1.5,0,18.5%,74.6%,6.9%,102.8
11,12,Bulldog,1.4,0.5,11.4%,75.7%,12.9%,105.8
12,13,Frenzy,1.4,0,14.2%,76.1%,9.7%,80.1
13,14,Marshal,1.2,0,19.5%,74.9%,5.6%,121.7
14,15,Stinger,0.9,0.2,14.7%,73.3%,12.0%,91.8
15,16,Bucky,0.8,0,13.6%,74.4%,12.0%,82.9
16,17,Shorty,0.7,0,12.8%,71.6%,15.6%,74.6
