,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,19.1,0.5,23.3%,70.6%,6.1%,128.7
1,2,Phantom,6.1,0.1,20.5%,72.3%,7.1%,124.6
2,3,Operator,3.5,3.4,9.9%,85.7%,4.4%,149.5
3,4,Spectre,2.9,0,16.9%,74.1%,9.0%,92.6
4,5,Ghost,2.8,0,25.5%,69.7%,4.8%,86.8
5,6,Odin,2.5,1.6,11.6%,71.6%,16.7%,112.2
6,7,Sheriff,2.2,0,27.9%,68.2%,4.0%,110.1
7,8,Judge,1.7,0,12.7%,75.7%,11.5%,99.1
8,9,Bulldog,1.6,0.3,20.0%,72.7%,7.3%,108.1
9,10,Classic,1.5,0.5,20.8%,73.3%,5.9%,79
10,11,Guardian,1.5,0.4,27.0%,68.7%,4.3%,141.2
11,12,Marshal,1.4,1.2,23.8%,72.2%,4.0%,127.4
12,13,Ares,1.2,0.7,14.6%,70.7%,14.7%,93.2
13,14,Frenzy,1.1,0,19.8%,73.6%,6.6%,82.7
14,15,Stinger,1.1,0.1,19.3%,73.6%,7.1%,98.2
15,16,Bucky,0.9,0,15.0%,76.7%,8.3%,94.6
16,17,Shorty,0.8,0,15.0%,74.9%,10.0%,92.5
