,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,27.9,0.5,21.7%,71.9%,6.4%,125.9
1,2,Phantom,12.2,0.1,20.0%,73.1%,7.0%,122.2
2,3,Spectre,4.5,0.1,17.6%,74.2%,8.1%,93.3
3,4,Operator,4.4,0,9.5%,86.4%,4.1%,146.1
4,5,Ghost,4,0,26.1%,69.6%,4.3%,88
5,6,Frenzy,2.8,0,21.2%,73.2%,5.6%,82.9
6,7,Stinger,2.8,0.2,16.7%,73.6%,9.7%,97.7
7,8,Classic,2.5,1.1,21.7%,72.8%,5.5%,81.4
8,9,Sheriff,2.5,0,27.7%,68.5%,3.7%,108.8
9,10,Judge,2.1,0,14.0%,74.0%,12.1%,99.2
10,11,Odin,2,1.3,13.6%,68.9%,17.5%,109.3
11,12,Bucky,1.5,1,15.2%,74.4%,10.4%,93.3
12,13,Bulldog,1.4,0.4,19.3%,73.3%,7.5%,105.4
13,14,Guardian,1.4,0.3,29.6%,66.2%,4.3%,143.9
14,15,Ares,1.2,0.7,10.6%,73.2%,16.2%,92.7
15,16,Marshal,1,0,20.5%,75.4%,4.2%,120.7
16,17,Shorty,0.7,0,15.0%,74.4%,10.6%,86
