,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,11.5,1.2,14.6%,74.4%,11.0%,124.4
1,2,Phantom,7.7,0.6,13.5%,74.5%,12.0%,120.9
2,3,Spectre,4.5,0.3,11.3%,75.2%,13.6%,95.3
3,4,Operator,3.4,0,10.5%,84.5%,4.9%,148.9
4,5,Odin,3.2,2,9.4%,69.4%,21.2%,114.3
5,6,Ares,3,2,7.6%,71.6%,20.9%,98.6
6,7,Ghost,2.7,0,15.9%,74.9%,9.2%,84.4
7,8,Classic,2,0.7,13.7%,75.9%,10.4%,72.7
8,9,Guardian,1.8,0.7,17.2%,75.2%,7.6%,135.1
9,10,Judge,1.6,0,11.7%,72.9%,15.4%,94.8
10,11,Sheriff,1.6,0,19.7%,73.5%,6.8%,103.1
11,12,Bulldog,1.4,0.5,12.0%,75.7%,12.3%,106.2
12,13,Marshal,1.4,0,20.3%,73.9%,5.8%,123.6
13,14,Frenzy,1.2,0,14.0%,75.6%,10.4%,79.7
14,15,Bucky,0.9,0,13.6%,74.7%,11.7%,85.7
15,16,Stinger,0.9,0.2,14.9%,72.7%,12.4%,92.1
16,17,Shorty,0.8,0,13.5%,72.5%,14.0%,80.3
