,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.5,0.4,19.8%,73.0%,7.2%,127.5
1,2,Phantom,7.8,0.1,18.1%,73.9%,8.0%,123.9
2,3,Operator,3.8,10.7%,85.0%,4.3%,150.2,
3,4,Spectre,3.6,0.1,15.0%,75.1%,9.9%,94.7
4,5,Odin,2.7,1.7,11.5%,71.5%,17.0%,113.1
5,6,Ghost,2.6,0,21.8%,72.3%,5.8%,86.2
6,7,Sheriff,2,0,25.0%,70.2%,4.8%,107.4
7,8,Classic,1.7,0.6,18.4%,74.4%,7.2%,77.1
8,9,Judge,1.6,0,13.0%,74.6%,12.4%,98.2
9,10,Ares,1.5,1,9.5%,73.3%,17.2%,96.1
10,11,Guardian,1.5,0.5,24.3%,70.7%,5.0%,139.1
11,12,Marshal,1.4,1,23.1%,72.6%,4.3%,126.9
12,13,Bulldog,1.2,0.3,16.7%,74.5%,8.8%,107.4
13,14,Frenzy,1.1,0,17.9%,74.5%,7.5%,83
14,15,Bucky,0.8,0,15.3%,76.0%,8.7%,90.6
15,16,Shorty,0.8,0,15.0%,73.8%,11.1%,89.1
16,17,Stinger,0.8,0.1,17.8%,73.3%,9.0%,94.7
