,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.5,0.4,19.5%,73.4%,7.1%,126.2
1,2,Phantom,7.7,0.1,17.9%,74.2%,7.9%,123.2
2,3,Spectre,3.4,0.1,15.3%,75.5%,9.2%,94.3
3,4,Operator,3.3,0,10.3%,85.6%,4.1%,147.1
4,5,Ghost,2.9,0,22.7%,72.1%,5.2%,86.7
5,6,Odin,2.5,1.7,11.6%,71.4%,17.1%,112.5
6,7,Judge,1.8,0,13.6%,73.7%,12.7%,98.7
7,8,Classic,1.8,0.8,19.3%,74.4%,6.3%,78.5
8,9,Sheriff,1.7,0,24.8%,70.7%,4.5%,107.2
9,10,Frenzy,1.4,0,18.8%,74.9%,6.4%,83.6
10,11,Ares,1.3,0.8,8.9%,72.6%,18.5%,93.8
11,12,Guardian,1.3,0.3,25.2%,70.0%,4.8%,139.2
12,13,Bulldog,1.2,0.3,17.2%,74.5%,8.3%,106.4
13,14,Bucky,1.2,0.7,14.8%,74.3%,10.9%,90.4
14,15,Marshal,1.1,0,21.2%,74.9%,3.9%,121.9
15,16,Stinger,0.9,0.1,19.5%,72.8%,7.6%,94.8
16,17,Shorty,0.7,0,15.3%,73.6%,11.1%,84.8
