,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.1,0.6,17.8%,73.9%,8.2%,125.9
1,2,Phantom,8.8,0.2,16.4%,74.6%,9.1%,122.3
2,3,Spectre,3.9,0.1,13.6%,75.4%,11.0%,94.5
3,4,Operator,3.7,0,10.7%,84.8%,4.5%,149.2
4,5,Odin,2.8,1.8,10.7%,71.0%,18.3%,113.1
5,6,Ghost,2.7,0,19.9%,73.4%,6.8%,85.3
6,7,Classic,2.1,0.9,17.0%,75.0%,8.0%,76
7,8,Sheriff,1.8,0,23.1%,71.5%,5.4%,105.3
8,9,Ares,1.7,1.2,8.8%,73.1%,18.1%,96.8
9,10,Judge,1.6,0,12.8%,74.1%,13.1%,96.8
10,11,Guardian,1.6,0.5,22.2%,72.3%,5.5%,138
11,12,Marshal,1.5,0,22.3%,73.0%,4.7%,125.4
12,13,Bulldog,1.2,0.4,15.0%,75.4%,9.7%,106.8
13,14,Frenzy,1.2,0,16.7%,75.0%,8.3%,81.8
14,15,Bucky,0.8,0,15.1%,75.6%,9.2%,88.6
15,16,Shorty,0.8,0,14.8%,73.7%,11.5%,86.8
16,17,Stinger,0.8,0.1,16.6%,73.6%,9.8%,93
