,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.4,1.3,13.8%,74.1%,12.1%,123.1
1,2,Phantom,7.2,0.8,12.7%,74.1%,13.2%,119.5
2,3,Spectre,4.7,0.5,10.8%,74.7%,14.6%,94.6
3,4,Ares,3.3,2.2,7.3%,70.7%,22.1%,98.4
4,5,Odin,3.2,2,9.1%,68.6%,22.3%,113.9
5,6,Operator,3.2,0,10.4%,84.2%,5.3%,148.2
6,7,Ghost,2.6,0,14.7%,74.9%,10.4%,83.6
7,8,Classic,2,0.6,12.8%,75.7%,11.5%,71.5
8,9,Guardian,1.8,0.8,15.6%,75.6%,8.8%,133.1
9,10,Sheriff,1.6,0,18.5%,73.9%,7.6%,102.2
10,11,Bulldog,1.5,0.5,11.3%,74.8%,13.9%,105.2
11,12,Judge,1.5,0,11.2%,72.4%,16.4%,94
12,13,Marshal,1.4,0,19.6%,74.2%,6.2%,122.3
13,14,Frenzy,1.2,0,13.6%,75.3%,11.1%,79.2
14,15,Bucky,0.9,0,12.9%,74.1%,13.0%,84.5
15,16,Stinger,0.9,0.2,14.1%,72.5%,13.4%,90.2
16,17,Shorty,0.8,0,13.5%,71.7%,14.8%,78.2
