,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.4,0.3,26.4%,67.7%,5.8%,130.7
1,2,Phantom,7.2,0,23.3%,70.1%,6.5%,126.2
2,3,Operator,3.9,3.8,11.0%,84.0%,5.1%,150.3
3,4,Spectre,2.4,0,19.6%,73.0%,7.4%,93.9
4,5,Odin,2.3,1.5,12.8%,72.8%,14.4%,112.3
5,6,Ares,2.3,1.3,14.4%,72.3%,13.3%,96.3
6,7,Ghost,2.3,0,28.8%,67.2%,4.1%,88.8
7,8,Sheriff,2.3,0,30.4%,65.6%,4.0%,112.4
8,9,Judge,1.9,0,13.2%,75.9%,10.9%,100.9
9,10,Bulldog,1.5,0.4,25.3%,68.0%,6.7%,109.1
10,11,Guardian,1.4,0.3,31.0%,64.0%,5.1%,145.3
11,12,Classic,1.3,0.5,23.5%,70.4%,6.1%,82.3
12,13,Marshal,1.3,1.1,25.9%,70.5%,3.6%,129.6
13,14,Frenzy,1.1,0,21.3%,73.3%,5.4%,86.6
14,15,Bucky,0.8,0,14.7%,77.0%,8.3%,99.7
15,16,Shorty,0.8,0,15.2%,75.8%,9.0%,99.8
16,17,Stinger,0.7,0.1,19.7%,74.2%,6.1%,99.6
