,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,11.7,1.4,14.5%,74.4%,11.1%,123.8
1,2,Phantom,5.7,0.7,12.7%,74.4%,12.8%,119.7
2,3,Spectre,3.9,0.4,10.7%,74.8%,14.5%,93.7
3,4,Odin,3,1.8,8.0%,68.0%,24.0%,113.8
4,5,Operator,3,2.9,9.8%,85.0%,5.2%,149.8
5,6,Ghost,2.7,0,14.8%,75.1%,10.1%,83.7
6,7,Ares,2.3,1.5,10.1%,70.3%,19.6%,99.6
7,8,Guardian,2,0.8,14.5%,76.4%,9.1%,133.3
8,9,Bulldog,1.6,0.5,11.2%,75.7%,13.1%,106.2
9,10,Classic,1.6,0.3,12.5%,76.2%,11.3%,70.7
10,11,Sheriff,1.6,0,19.1%,73.7%,7.1%,103
11,12,Judge,1.5,0,11.0%,72.9%,16.2%,94.9
12,13,Marshal,1.3,1.2,19.4%,74.5%,6.1%,122.1
13,14,Frenzy,1.1,0,13.6%,75.4%,11.0%,78
14,15,Stinger,1.1,0.2,14.4%,73.2%,12.4%,92.3
15,16,Bucky,0.9,0,12.7%,74.9%,12.4%,86.4
16,17,Shorty,0.8,0,13.1%,72.5%,14.4%,77.9
