,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.6,0.4,21.2%,72.1%,6.6%,128
1,2,Phantom,7,0.1,19.0%,73.5%,7.5%,124
2,3,Operator,3.6,3.5,9.8%,85.9%,4.3%,149.9
3,4,Spectre,3.3,0.1,15.7%,74.8%,9.5%,93.2
4,5,Odin,2.5,1.6,10.9%,71.7%,17.4%,112.2
5,6,Ghost,2.5,0,23.2%,71.4%,5.3%,86.6
6,7,Sheriff,2,0,25.9%,69.6%,4.5%,107.9
7,8,Judge,1.6,0,12.9%,75.2%,11.8%,98.2
8,9,Classic,1.6,0.5,18.7%,74.7%,6.6%,76.7
9,10,Guardian,1.5,0.4,25.1%,70.1%,4.8%,140.2
10,11,Bulldog,1.4,0.3,18.0%,74.1%,8.0%,108.1
11,12,Marshal,1.4,1.2,22.6%,73.2%,4.2%,125.8
12,13,Ares,1.2,0.7,14.9%,70.5%,14.6%,94.9
13,14,Frenzy,1.1,0,18.8%,74.3%,6.9%,82.5
14,15,Bucky,0.8,0,15.5%,76.5%,8.0%,93.3
15,16,Shorty,0.8,0,14.8%,74.6%,10.5%,89.1
16,17,Stinger,0.8,0.1,18.0%,73.5%,8.5%,96.4
