,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,11.9,1.5,14.5%,74.4%,11.2%,123.7
1,2,Phantom,5,0.7,12.6%,74.4%,13.0%,119.5
2,3,Spectre,3.7,0.5,10.6%,74.7%,14.6%,93.3
3,4,Odin,3.1,1.9,8.0%,67.9%,24.1%,114.3
4,5,Operator,3,2.9,9.8%,84.9%,5.2%,149.5
5,6,Ghost,2.7,0,14.8%,75.1%,10.1%,83.8
6,7,Ares,2.4,1.6,9.8%,70.4%,19.8%,99.1
7,8,Guardian,2,0.8,14.4%,76.3%,9.2%,132.8
8,9,Bulldog,1.6,0.4,11.3%,75.5%,13.2%,106.1
9,10,Judge,1.6,0,11.0%,73.1%,15.9%,95.6
10,11,Classic,1.6,0.3,12.5%,76.2%,11.3%,70.9
11,12,Sheriff,1.6,0,19.4%,73.5%,7.2%,103.1
12,13,Marshal,1.3,1.2,19.2%,74.5%,6.4%,121.6
13,14,Frenzy,1.1,0,13.5%,75.4%,11.1%,78.6
14,15,Stinger,1.1,0.2,14.2%,73.2%,12.6%,92.7
15,16,Bucky,1,0,12.7%,74.8%,12.4%,87.3
16,17,Shorty,0.8,0,13.1%,72.6%,14.3%,78.2
