,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,18,0.5,22.6%,71.1%,6.3%,128.4
1,2,Phantom,5.9,0.1,19.9%,72.8%,7.3%,124.4
2,3,Operator,3.4,10.0%,85.7%,4.3%,150,
3,4,Spectre,2.9,0,16.5%,74.3%,9.2%,92.7
4,5,Ghost,2.7,0,24.8%,70.3%,5.0%,86.5
5,6,Odin,2.5,1.6,11.3%,71.1%,17.6%,112.1
6,7,Sheriff,2.1,0,27.1%,68.8%,4.1%,109.4
7,8,Judge,1.6,0,12.8%,75.4%,11.8%,98.8
8,9,Bulldog,1.5,0.3,19.1%,73.3%,7.6%,107.6
9,10,Guardian,1.5,0.4,26.3%,69.2%,4.5%,141.2
10,11,Classic,1.4,0.4,20.1%,73.6%,6.2%,78.3
11,12,Marshal,1.4,1.2,23.7%,72.3%,4.0%,127.2
12,13,Ares,1.2,0.7,14.9%,71.0%,14.1%,94.7
13,14,Frenzy,1.1,0,19.3%,73.9%,6.8%,82.4
14,15,Stinger,1.1,0.1,19.4%,73.4%,7.2%,97.9
15,16,Bucky,1,0,15.1%,76.5%,8.4%,93.7
16,17,Shorty,0.8,0,15.1%,74.6%,10.3%,90.8
