,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.3,0.3,21.7%,71.6%,6.7%,127.3
1,2,Phantom,9.6,0.1,19.9%,72.8%,7.3%,123.6
2,3,Operator,4,0,10.5%,85.1%,4.4%,149.2
3,4,Spectre,3.6,0.1,16.7%,74.2%,9.1%,93.4
4,5,Ghost,2.6,0,24.3%,70.3%,5.3%,86.9
5,6,Odin,2.5,1.6,12.5%,70.9%,16.7%,111.2
6,7,Sheriff,2.2,0,27.1%,68.6%,4.4%,109
7,8,Classic,2,1,20.9%,72.8%,6.3%,80.3
8,9,Judge,1.6,0,13.2%,74.9%,11.9%,97.8
9,10,Marshal,1.5,0,24.5%,71.5%,4.0%,127.9
10,11,Guardian,1.4,0.4,27.6%,67.9%,4.5%,140.1
11,12,Ares,1.3,0.8,10.5%,72.2%,17.3%,92.8
12,13,Bulldog,1.2,0.3,18.6%,73.6%,7.8%,106.2
13,14,Frenzy,1.1,0,19.8%,73.3%,6.9%,84.3
14,15,Bucky,0.8,0,16.1%,76.0%,7.9%,93.2
15,16,Shorty,0.8,0,15.1%,74.2%,10.7%,92.1
16,17,Stinger,0.8,0.1,19.2%,73.1%,7.7%,96.2
