,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,7.3,1.6,13.9%,71.1%,15.0%,121.2
1,2,Phantom,4.3,1.2,11.6%,70.6%,17.8%,115.2
2,3,Spectre,3.6,0.8,10.2%,71.7%,18.1%,89.8
3,4,Odin,2.6,1.4,8.6%,65.0%,26.4%,111.7
4,5,Ares,2.4,1.5,8.8%,67.7%,23.6%,95.7
5,6,Operator,2.4,11.2%,82.0%,6.9%,147.7,
6,7,Guardian,2.4,1,12.4%,72.5%,15.1%,128.6
7,8,Sheriff,2,0,24.0%,67.6%,8.4%,111.5
8,9,Ghost,1.9,0,12.5%,72.9%,14.6%,82.5
9,10,Bulldog,1.8,0.6,9.6%,71.0%,19.4%,101.1
10,11,Judge,1.7,0,9.5%,69.2%,21.4%,90
11,12,Classic,1.2,0.2,11.2%,73.5%,15.3%,70.3
12,13,Frenzy,1.1,0,12.8%,73.0%,14.3%,75.9
13,14,Marshal,1.1,1,18.8%,72.3%,8.9%,119
14,15,Bucky,1,0,11.1%,71.8%,17.1%,84.8
15,16,Shorty,0.9,0,13.4%,69.4%,17.2%,75.1
16,17,Stinger,0.9,0.2,13.4%,71.3%,15.3%,86.5
