,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,20.7,0.3,25.7%,68.5%,5.8%,129
1,2,Phantom,13.1,0.1,23.0%,70.6%,6.4%,125.5
2,3,Operator,4.4,0,10.8%,85.2%,4.1%,148.5
3,4,Spectre,0,19.5%,73.1%,7.4%,94.2,
4,5,Ghost,3.9,0,29.8%,66.1%,4.1%,89.9
5,6,Sheriff,3.4,0,31.2%,65.2%,3.5%,113.7
6,7,Judge,2.6,0,12.3%,75.1%,12.6%,98.1
7,8,Odin,2.5,1.6,13.4%,70.5%,16.1%,110.4
8,9,Classic,2.1,1,23.3%,71.4%,5.3%,87.3
9,10,Frenzy,1.9,0,22.0%,72.4%,5.6%,85.5
10,11,Ares,1.7,1.3,12.0%,75.3%,12.6%,99.4
11,12,Guardian,1.6,0.4,34.4%,62.0%,3.7%,149.5
12,13,Marshal,1.6,0,27.1%,69.9%,2.9%,129.9
13,14,Bulldog,1.2,0.5,22.7%,70.8%,6.5%,108.4
14,15,Shorty,0.8,0,14.2%,75.7%,10.1%,98.1
15,16,Stinger,0.7,0.1,22.5%,70.9%,6.6%,93.8
16,17,Bucky,0.6,0,17.9%,74.9%,7.3%,88.9
