,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.4,0.4,19.8%,73.0%,7.2%,128
1,2,Phantom,7.1,0.1,17.9%,74.1%,8.0%,124.5
2,3,Operator,3.5,10.5%,85.1%,4.4%,150,
3,4,Ares,2.8,1.7,11.6%,72.4%,16.1%,98.2
4,5,Spectre,2.8,0.1,15.1%,74.8%,10.1%,95.1
5,6,Odin,2.6,1.7,11.3%,71.7%,17.0%,114.3
6,7,Ghost,2.5,0,21.7%,72.3%,6.0%,86.4
7,8,Sheriff,1.8,0,24.8%,70.2%,5.0%,107.3
8,9,Judge,1.6,0,13.1%,74.7%,12.1%,98.5
9,10,Classic,1.6,0.5,18.0%,74.5%,7.5%,76.8
10,11,Guardian,1.6,0.5,24.0%,71.2%,4.9%,139.3
11,12,Bulldog,1.4,0.4,16.5%,75.3%,8.2%,108.9
12,13,Marshal,1.4,1.2,23.4%,72.1%,4.5%,127.5
13,14,Frenzy,1.1,0,17.9%,74.5%,7.7%,82.8
14,15,Bucky,0.9,0,15.3%,76.1%,8.6%,92.3
15,16,Shorty,0.8,0,15.0%,73.6%,11.3%,88.7
16,17,Stinger,0.8,0.1,17.1%,73.1%,9.9%,94.7
