,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,17.6,0.3,23.4%,70.4%,6.2%,128.2
1,2,Phantom,9.2,0.1,21.3%,71.8%,6.9%,124.4
2,3,Operator,4.2,3.4,10.5%,85.2%,4.4%,149.6
3,4,Spectre,3.8,0,17.8%,73.7%,8.5%,93.7
4,5,Ghost,2.8,0,26.0%,69.2%,4.8%,87.5
5,6,Sheriff,2.6,0,28.5%,67.4%,4.1%,109.9
6,7,Odin,2.4,1.5,13.0%,71.2%,15.8%,110.1
7,8,Classic,1.8,0.7,21.8%,72.3%,5.9%,80
8,9,Judge,1.7,0,13.1%,75.2%,11.7%,98
9,10,Marshal,1.5,1,25.3%,70.7%,3.9%,128.6
10,11,Guardian,1.4,0.4,29.3%,66.5%,4.2%,141.9
11,12,Ares,1.3,0.8,11.3%,72.3%,16.4%,92
12,13,Bulldog,1.1,0.3,20.5%,72.3%,7.2%,106.9
13,14,Frenzy,1.1,0,20.7%,72.9%,6.4%,84.4
14,15,Bucky,0.8,0,15.4%,77.0%,7.6%,93.2
15,16,Shorty,0.8,0,14.8%,75.1%,10.1%,93.3
16,17,Stinger,0.7,0.1,18.9%,73.6%,7.6%,96.6
