,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.9,0.5,21.4%,72.0%,6.5%,128.3
1,2,Phantom,5.6,0.1,18.8%,73.5%,7.7%,124.1
2,3,Operator,3.3,10.1%,85.6%,4.3%,150,
3,4,Spectre,2.9,0.1,15.5%,74.8%,9.7%,93.1
4,5,Odin,2.7,1.7,10.6%,71.4%,18.0%,113.1
5,6,Ghost,2.6,0,23.2%,71.3%,5.4%,86.1
6,7,Sheriff,1.9,0,26.2%,69.6%,4.3%,108.6
7,8,Judge,1.6,0,12.9%,75.4%,11.8%,99
8,9,Guardian,1.6,0.4,24.5%,70.7%,4.8%,139.8
9,10,Bulldog,1.5,0.3,17.7%,74.0%,8.2%,107.6
10,11,Classic,1.4,0.4,19.0%,74.4%,6.6%,77.3
11,12,Marshal,1.4,1.2,23.0%,72.9%,4.1%,126.5
12,13,Ares,1.3,0.8,13.4%,71.3%,15.3%,95.6
13,14,Frenzy,1.1,0,18.5%,74.5%,7.0%,82.3
14,15,Stinger,1.1,0.1,18.4%,73.7%,7.8%,97.3
15,16,Bucky,1,0,14.7%,76.7%,8.6%,94
16,17,Shorty,0.8,0,15.0%,74.6%,10.5%,89.8
