,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13,0.4,19.6%,73.1%,7.3%,126.8
1,2,Phantom,8.1,0.1,18.1%,73.9%,8.0%,123.5
2,3,Operator,3.5,0,10.5%,85.1%,4.3%,149
3,4,Spectre,3.4,0.1,15.1%,75.0%,9.9%,94.3
4,5,Odin,2.6,1.7,11.7%,71.2%,17.1%,112.5
5,6,Ghost,2.5,0,22.4%,71.7%,5.9%,86.3
6,7,Classic,1.8,0.8,19.0%,74.0%,7.0%,78.3
7,8,Sheriff,1.8,0,24.8%,70.1%,5.0%,107
8,9,Judge,1.6,0,13.4%,74.3%,12.3%,97.6
9,10,Ares,1.5,1,9.5%,72.6%,17.9%,96
10,11,Guardian,1.4,0.4,24.4%,70.5%,5.0%,139.5
11,12,Marshal,1.4,0,22.8%,72.7%,4.5%,125.9
12,13,Bulldog,1.3,0.4,17.0%,74.5%,8.5%,106.9
13,14,Frenzy,1.2,0,18.5%,74.2%,7.3%,83.2
14,15,Bucky,0.8,0,16.1%,75.7%,8.2%,91.3
15,16,Stinger,0.8,0.1,18.6%,73.0%,8.4%,94.9
16,17,Shorty,0.7,0,15.0%,74.2%,10.9%,88.6
