,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,18.6,0.3,25.7%,68.3%,6.0%,129.3
1,2,Phantom,7.4,0,22.5%,70.5%,7.0%,125
2,3,Operator,4.1,10.0%,85.2%,4.8%,149.6,
3,4,Spectre,3.2,0,18.8%,72.8%,8.4%,92.7
4,5,Ghost,2.6,0,28.0%,67.5%,4.6%,87.9
5,6,Sheriff,2.6,0,30.2%,65.9%,3.9%,111.7
6,7,Odin,2.1,1.3,12.6%,69.4%,18.0%,109.2
7,8,Judge,1.8,0,12.7%,75.7%,11.6%,98.9
8,9,Classic,1.5,0.6,22.2%,72.2%,5.5%,81.7
9,10,Marshal,1.5,1.3,25.6%,70.6%,3.8%,129
10,11,Bulldog,1.4,0.4,23.4%,70.5%,6.1%,109.7
11,12,Guardian,1.4,0.3,30.0%,65.4%,4.6%,143.2
12,13,Frenzy,1.2,0,21.1%,72.9%,6.0%,83.4
13,14,Ares,1.1,0.6,17.4%,69.7%,12.9%,91.6
14,15,Bucky,0.9,0,14.6%,77.1%,8.2%,97.5
15,16,Shorty,0.8,0,14.6%,75.1%,10.3%,96
16,17,Stinger,0.7,0.1,19.6%,72.4%,8.0%,96
