,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.8,0.3,22.8%,71.1%,6.1%,127.2
1,2,Phantom,9.3,0,20.8%,72.3%,6.9%,123.7
2,3,Operator,4,0,9.2%,86.2%,4.6%,146.3
3,4,Spectre,3,0,17.9%,74.3%,7.8%,93.3
4,5,Ghost,2.7,0,27.0%,68.3%,4.8%,88.1
5,6,Odin,2.4,1.7,13.9%,69.4%,16.7%,109.8
6,7,Frenzy,2.2,0,21.2%,73.7%,5.1%,83.1
7,8,Judge,2.1,0,13.6%,74.7%,11.7%,98.7
8,9,Stinger,2.1,0.1,17.4%,73.7%,8.9%,98.2
9,10,Sheriff,1.8,0,29.2%,67.6%,3.3%,110
10,11,Bucky,1.7,1.2,13.7%,75.2%,11.1%,97.6
11,12,Classic,1.6,0.8,21.9%,72.8%,5.3%,82.9
12,13,Ares,1.4,0.9,12.7%,72.8%,14.5%,97.6
13,14,Bulldog,1.3,0.4,20.6%,72.4%,7.0%,107.9
14,15,Guardian,1.3,0.4,29.5%,66.8%,3.6%,141.8
15,16,Marshal,1,0,22.8%,72.9%,4.4%,122
16,17,Shorty,0.7,0,15.7%,74.6%,9.7%,98.3
