,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,6.8,1.6,12.2%,71.0%,16.7%,118.7
1,2,Phantom,5.7,1.4,11.0%,70.6%,18.4%,114.1
2,3,Spectre,5.2,1.1,9.9%,71.6%,18.5%,90.6
3,4,Ares,2.5,6.8%,67.1%,26.1%,95.6,
4,5,Odin,2.8,1.6,8.6%,64.9%,26.4%,110.1
5,6,Operator,2.6,2,10.2%,82.4%,7.4%,145.6
6,7,Ghost,2.1,0,11.0%,73.3%,15.7%,80.3
7,8,Guardian,2,0.9,12.2%,72.3%,15.5%,124.8
8,9,Judge,1.7,0,9.2%,68.0%,22.7%,87.7
9,10,Bulldog,1.6,0.6,9.3%,71.7%,19.0%,100
10,11,Classic,1.6,0.3,10.0%,73.3%,16.7%,68.1
11,12,Sheriff,1.6,0,18.1%,70.7%,11.2%,102.8
12,13,Marshal,1.2,0.8,16.5%,73.9%,9.6%,116.2
13,14,Frenzy,1.1,0,12.1%,72.2%,15.7%,73.9
14,15,Bucky,0.9,0,10.6%,69.8%,19.6%,78.6
15,16,Shorty,0.9,0,11.4%,68.5%,20.0%,68.8
16,17,Stinger,0.8,0.2,12.2%,68.8%,19.1%,82.4
