,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,18.7,0.3,25.7%,68.4%,5.9%,129.3
1,2,Phantom,7.3,0,22.5%,70.7%,6.8%,125
2,3,Operator,3.9,9.5%,86.2%,4.3%,149.4,
3,4,Spectre,3.2,0,18.6%,73.2%,8.2%,92.3
4,5,Ghost,2.5,0,28.0%,67.7%,4.3%,87.7
5,6,Sheriff,2.4,0,29.8%,66.2%,4.1%,111.2
6,7,Odin,2.3,1.5,12.4%,71.3%,16.3%,108.5
7,8,Judge,1.8,0,12.4%,76.0%,11.7%,97.8
8,9,Bulldog,1.5,0.4,23.1%,70.3%,6.6%,109.7
9,10,Classic,1.5,0.5,21.7%,72.8%,5.5%,79.7
10,11,Guardian,1.4,0.3,30.1%,65.6%,4.2%,142.7
11,12,Marshal,1.4,1.2,24.6%,71.6%,3.8%,127.7
12,13,Frenzy,1.3,0,20.8%,73.1%,6.1%,82.6
13,14,Ares,1.2,0.7,16.5%,70.5%,13.1%,92
14,15,Bucky,0.8,0,14.0%,77.8%,8.2%,96.4
15,16,Shorty,0.8,0,14.1%,76.1%,9.8%,92.4
16,17,Stinger,0.7,0.1,20.1%,72.5%,7.4%,95.7
