,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.4,0.8,17.7%,74.2%,8.1%,127
1,2,Phantom,6.2,0.3,15.4%,75.0%,9.6%,123
2,3,Operator,3.3,3.2,9.7%,85.9%,4.4%,150.2
3,4,Spectre,3.3,0.2,12.6%,75.6%,11.8%,94.7
4,5,Odin,2.9,1.8,9.1%,70.4%,20.5%,114.2
5,6,Ghost,2.7,0,18.8%,74.0%,7.2%,85.1
6,7,Ares,1.7,1.1,11.4%,71.6%,17.0%,99.1
7,8,Sheriff,1.7,0,22.6%,72.2%,5.2%,105.5
8,9,Guardian,1.7,0.6,19.5%,74.4%,6.1%,137.7
9,10,Judge,1.6,0,12.1%,74.6%,13.2%,97.9
10,11,Bulldog,1.5,0.4,14.0%,76.1%,10.0%,108
11,12,Classic,1.5,0.4,15.5%,76.0%,8.5%,73.8
12,13,Marshal,1.4,1.2,21.1%,74.2%,4.7%,125
13,14,Stinger,1.2,0.1,16.6%,73.9%,9.4%,95.6
14,15,Frenzy,1.1,0,15.8%,75.5%,8.7%,80.4
15,16,Bucky,0.9,0,14.3%,75.8%,9.9%,91.1
16,17,Shorty,0.8,0,14.2%,73.8%,12.0%,84
