,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.2,1.1,14.4%,74.4%,11.2%,122.8
1,2,Phantom,6.1,0.6,13.2%,74.3%,12.5%,119.4
2,3,Ares,4.1,2.6,9.1%,71.2%,19.7%,98.8
3,4,Spectre,3.7,0.3,11.2%,74.6%,14.2%,93.8
4,5,Operator,3.1,3,10.4%,84.4%,5.3%,149.4
5,6,Odin,2.8,1.8,9.0%,69.0%,22.0%,113.8
6,7,Ghost,2.4,0,15.1%,75.1%,9.8%,83
7,8,Guardian,1.8,0.7,15.5%,76.1%,8.4%,132.7
8,9,Classic,1.7,0.4,12.9%,75.9%,11.2%,70.1
9,10,Bulldog,1.5,0.5,11.3%,75.8%,12.9%,105.9
10,11,Judge,1.5,0,11.7%,72.9%,15.4%,94.4
11,12,Sheriff,1.5,0,18.7%,73.6%,7.6%,101.2
12,13,Marshal,1.3,1.2,20.1%,73.4%,6.5%,122.7
13,14,Frenzy,1.1,0,13.9%,75.0%,11.2%,78.5
14,15,Bucky,0.9,0,13.4%,74.4%,12.1%,85.3
15,16,Stinger,0.9,0.1,14.4%,73.0%,12.7%,90.9
16,17,Shorty,0.8,0,13.5%,72.6%,14.0%,78.2
