,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.4,1.1,15.6%,75.0%,9.4%,125.3
1,2,Phantom,7,0.4,14.2%,75.2%,10.6%,121.9
2,3,Spectre,3.8,0.2,12.1%,76.1%,11.8%,96.4
3,4,Operator,3.2,0,10.0%,85.6%,4.4%,147.6
4,5,Odin,3.1,2,9.8%,70.9%,19.3%,114.7
5,6,Ghost,3.1,0,18.0%,74.8%,7.3%,85.8
6,7,Ares,2.1,1.4,7.7%,72.6%,19.7%,98.8
7,8,Judge,2,0,12.4%,72.7%,14.9%,98
8,9,Classic,1.8,0.6,15.2%,76.2%,8.5%,74.8
9,10,Sheriff,1.5,0,20.9%,73.4%,5.7%,105
10,11,Guardian,1.5,0.6,19.1%,74.6%,6.3%,137.1
11,12,Frenzy,1.4,0,15.3%,76.3%,8.4%,81.5
12,13,Bulldog,1.3,0.4,13.0%,75.9%,11.0%,106.4
13,14,Bucky,1.3,0.6,13.8%,73.1%,13.2%,85.9
14,15,Marshal,1.1,0,20.5%,74.8%,4.8%,122.7
15,16,Stinger,1,0.1,16.5%,73.7%,9.8%,93.4
16,17,Shorty,0.7,0,14.2%,71.9%,13.9%,77.5
