,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,20.3,0.6,24.6%,69.5%,5.9%,129.2
1,2,Phantom,6.3,0.1,21.6%,71.4%,6.9%,124.8
2,3,Operator,3.5,10.0%,85.6%,4.4%,149.4,
3,4,Spectre,3,0,17.9%,73.5%,8.6%,92.4
4,5,Ghost,2.9,0,26.9%,68.6%,4.5%,87
5,6,Sheriff,2.4,0,29.1%,67.2%,3.7%,111.2
6,7,Odin,2.3,1.4,11.7%,71.5%,16.8%,109.9
7,8,Judge,1.7,0,12.8%,75.6%,11.6%,98.5
8,9,Bulldog,1.6,0.4,21.2%,71.9%,6.9%,107.8
9,10,Classic,1.5,0.5,21.9%,72.4%,5.7%,80.3
10,11,Guardian,1.5,0.4,28.3%,67.5%,4.2%,141.5
11,12,Marshal,1.5,1.2,24.6%,71.6%,3.8%,128.4
12,13,Ares,1.2,0.7,16.1%,70.0%,13.9%,93.2
13,14,Frenzy,1.2,0,20.3%,73.2%,6.5%,83.1
14,15,Stinger,1.2,0.1,19.9%,73.3%,6.8%,98.3
15,16,Bucky,0.9,0,14.8%,77.2%,8.0%,94.8
16,17,Shorty,0.8,0,15.0%,75.1%,9.9%,93.9
