,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.9,1.3,15.2%,74.6%,10.1%,124.9
1,2,Phantom,5.1,0.5,13.2%,74.8%,11.9%,120.7
2,3,Spectre,3.6,0.3,11.0%,75.3%,13.7%,94
3,4,Odin,3.1,1.9,8.2%,68.8%,23.0%,114.5
4,5,Operator,3.1,10.0%,85.1%,4.9%,150,
5,6,Ghost,2.7,0,15.9%,75.0%,9.1%,84.4
6,7,Ares,2.3,1.5,9.9%,70.8%,19.3%,99.5
7,8,Guardian,1.9,0.8,15.5%,76.3%,8.2%,133.9
8,9,Bulldog,1.6,0.4,12.1%,75.8%,107.3,
9,10,Judge,1.6,0,11.4%,73.4%,15.2%,96.3
10,11,Classic,1.6,0.3,13.2%,76.4%,10.4%,71.5
11,12,Sheriff,1.6,0,20.3%,73.2%,6.5%,104.5
12,13,Marshal,1.3,1.2,19.9%,74.3%,5.8%,123
13,14,Stinger,1.2,0.1,14.6%,73.6%,11.8%,93.9
14,15,Frenzy,1.1,0,14.0%,75.6%,10.5%,78.9
15,16,Bucky,1,0,13.1%,75.3%,11.6%,88.3
16,17,Shorty,0.8,0,13.3%,73.0%,13.7%,79.8
