,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15,0.5,19.3%,73.5%,7.2%,127.4
1,2,Phantom,5.7,0.1,17.1%,74.5%,8.4%,123.5
2,3,Operator,3.3,9.9%,85.8%,4.3%,150.3,
3,4,Spectre,3.1,0.1,14.0%,75.4%,10.5%,94
4,5,Odin,2.7,1.7,9.8%,71.2%,19.0%,113.3
5,6,Ghost,2.5,0,20.9%,73.0%,6.1%,85.7
6,7,Sheriff,1.7,0,24.3%,70.9%,4.9%,106.7
7,8,Judge,1.6,0,12.8%,75.0%,12.2%,98.6
8,9,Guardian,1.6,0.5,21.6%,73.2%,5.3%,138.4
9,10,Classic,1.5,0.4,16.9%,75.7%,7.4%,75
10,11,Ares,1.4,0.9,12.7%,71.8%,15.5%,97
11,12,Bulldog,1.4,0.3,15.6%,75.5%,8.9%,108.1
12,13,Marshal,1.3,1.2,21.8%,73.7%,4.4%,125.4
13,14,Frenzy,1.1,0,17.2%,75.1%,7.7%,81.5
14,15,Stinger,1,0.1,17.0%,74.3%,8.7%,96.3
15,16,Bucky,0.9,0,15.0%,76.2%,8.8%,91.7
16,17,Shorty,0.8,0,14.7%,74.3%,11.0%,86.6
