,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.6,2,13.0%,73.3%,13.7%,120.9
1,2,Phantom,5.1,1.1,11.6%,72.6%,15.8%,116.7
2,3,Spectre,4.4,0.8,10.2%,73.3%,16.5%,91.5
3,4,Odin,3,1.8,7.8%,66.1%,26.1%,112.4
4,5,Ares,2.8,1.8,9.3%,69.2%,21.4%,97.9
5,6,Operator,2.7,9.9%,83.7%,6.4%,148.3,
6,7,Ghost,2.6,0,12.7%,74.6%,12.6%,82.2
7,8,Guardian,2.3,1,12.1%,75.7%,12.2%,129.7
8,9,Bulldog,1.8,0.6,10.1%,73.9%,16.0%,104.3
9,10,Judge,1.6,0,10.0%,71.3%,18.7%,91.8
10,11,Classic,1.6,0.2,11.1%,75.4%,13.5%,69.3
11,12,Sheriff,1.6,0,18.1%,72.9%,9.0%,102.8
12,13,Marshal,1.2,1.1,17.3%,75.0%,7.7%,117.9
13,14,Frenzy,1.1,0,13.1%,74.2%,12.7%,77.1
14,15,Bucky,1,0,11.6%,73.9%,14.5%,83.6
15,16,Stinger,1,0.2,13.2%,72.2%,14.6%,89.1
16,17,Shorty,0.8,0,12.2%,71.4%,16.4%,74.2
