,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16,0.3,22.9%,70.8%,6.3%,128.3
1,2,Phantom,8.5,0.1,20.9%,72.1%,7.0%,124.5
2,3,Operator,4.1,3.3,10.5%,85.1%,4.4%,149.9
3,4,Spectre,3.5,0,17.3%,73.9%,8.8%,93.9
4,5,Ghost,2.6,0,25.2%,69.9%,4.9%,87.5
5,6,Odin,2.4,1.6,12.9%,70.9%,16.3%,111.4
6,7,Sheriff,2.4,0,27.9%,67.8%,4.2%,109.8
7,8,Classic,1.7,0.6,21.3%,72.6%,6.0%,79.9
8,9,Judge,1.6,0,13.1%,75.1%,11.8%,98.7
9,10,Guardian,1.4,0.3,28.2%,67.4%,4.4%,140.9
10,11,Marshal,1.4,1,24.7%,71.4%,3.9%,128.3
11,12,Ares,1.3,0.9,11.2%,72.7%,16.1%,95.1
12,13,Bulldog,1.2,0.3,20.1%,72.5%,7.4%,107.9
13,14,Frenzy,1.1,0,20.3%,73.1%,6.6%,84.3
14,15,Bucky,0.8,0,15.8%,76.2%,8.1%,94
15,16,Shorty,0.8,0,15.1%,74.6%,10.3%,94
16,17,Stinger,0.7,0.1,19.5%,72.5%,8.0%,95.7
