,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.3,1.1,16.1%,74.5%,9.4%,125.5
1,2,Phantom,5.1,0.4,13.9%,75.0%,11.1%,121.4
2,3,Spectre,3.4,0.3,11.5%,75.4%,13.1%,94.1
3,4,Odin,3.1,1.9,8.4%,69.3%,22.2%,114.5
4,5,Operator,3.1,9.9%,85.3%,4.8%,150.2,
5,6,Ghost,2.7,0,16.8%,74.8%,8.4%,84.5
6,7,Ares,2.1,1.4,10.4%,71.2%,18.5%,99.1
7,8,Guardian,1.8,0.7,16.9%,75.7%,7.4%,135.4
8,9,Bulldog,1.6,0.4,12.6%,76.1%,11.4%,107.1
9,10,Judge,1.6,0,11.6%,74.1%,14.3%,97.2
10,11,Sheriff,1.6,0,21.0%,73.0%,6.0%,104.4
11,12,Classic,1.5,0.3,14.0%,76.3%,9.6%,72.3
12,13,Marshal,1.3,1.2,20.6%,74.2%,5.3%,124.2
13,14,Stinger,1.2,0.1,15.2%,74.2%,10.6%,94.9
14,15,Frenzy,1.1,0,14.7%,75.5%,9.7%,79.4
15,16,Bucky,1,0,13.3%,75.8%,10.9%,89.4
16,17,Shorty,0.8,0,13.9%,73.1%,13.0%,81.3
