,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.2,0.9,16.5%,74.6%,9.0%,125.7
1,2,Phantom,5.7,0.3,14.5%,75.1%,10.5%,121.6
2,3,Spectre,3.7,0.2,12.0%,75.6%,12.4%,94.3
3,4,Operator,3.2,10.0%,85.4%,4.6%,150.4,
4,5,Odin,2.9,1.8,8.8%,69.7%,21.5%,114
5,6,Ghost,2.7,0,17.4%,74.7%,7.9%,84.7
6,7,Ares,1.9,1.2,11.1%,71.4%,17.5%,98.7
7,8,Guardian,1.9,0.7,17.6%,75.6%,6.9%,136.4
8,9,Classic,1.6,0.4,14.3%,76.5%,9.2%,72.4
9,10,Sheriff,1.6,0,21.6%,72.6%,5.8%,104.5
10,11,Bulldog,1.5,0.4,12.9%,76.1%,11.0%,107.3
11,12,Judge,1.5,0,12.0%,74.2%,13.8%,96.6
12,13,Marshal,1.4,1.2,20.7%,74.0%,5.3%,124.1
13,14,Frenzy,1.1,0,15.0%,75.7%,9.3%,79.8
14,15,Stinger,1.1,0.1,15.4%,73.9%,10.7%,94.7
15,16,Bucky,0.9,0,14.1%,75.6%,10.3%,89.5
16,17,Shorty,0.8,0,14.0%,73.5%,12.5%,82.2
