,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13,0.8,16.7%,74.3%,8.9%,126.3
1,2,Phantom,7.3,0.3,15.3%,74.7%,9.9%,122.6
2,3,Spectre,4.1,0.2,12.7%,75.5%,11.7%,95.6
3,4,Operator,3.7,2.9,10.5%,85.0%,4.5%,150
4,5,Odin,3,1.9,10.2%,70.6%,19.2%,114.5
5,6,Ghost,2.7,0,18.2%,74.2%,7.5%,85.1
6,7,Ares,2.2,1.5,8.4%,73.1%,18.5%,98.4
7,8,Classic,1.8,0.6,15.3%,75.7%,9.0%,73.9
8,9,Sheriff,1.8,0,21.9%,72.4%,5.7%,105
9,10,Guardian,1.7,0.6,20.3%,73.6%,6.1%,137.3
10,11,Judge,1.6,0,12.5%,73.8%,13.7%,97
11,12,Marshal,1.4,1,21.5%,73.5%,4.9%,125.5
12,13,Bulldog,1.3,0.4,13.8%,75.5%,10.7%,106.9
13,14,Frenzy,1.2,0,15.7%,75.4%,9.0%,81.4
14,15,Bucky,0.9,0,14.6%,75.2%,10.3%,88.4
15,16,Stinger,0.9,0.1,16.0%,73.1%,10.9%,93.6
16,17,Shorty,0.8,0,14.4%,73.3%,12.3%,84.9
